,date,Order,Stock,pctCandle,fibRetr,entryPrice,SL,Target
0,2023-04-28,Buy,APOLLOHOSP,1.67,0.3,4507.45,4485.0,4539.0
1,2023-04-28,Sell,TVSMOTOR,1.0,0.6,1130.15,1135.8,1122.2
2,2023-04-28,Sell,BALKRISIND,1.07,0.4,2067.15,2076.0,2052.7
3,2023-04-28,Sell,HINDUNILVR,1.17,0.52,2421.25,2433.4,2404.3
