,date,open,high,low,close,volume
0,2020-01-31 00:00:00+05:30,12100.4,12103.55,11945.85,11962.1,0
1,2020-02-01 00:00:00+05:30,11939.0,12017.35,11633.3,11661.85,0
2,2020-02-03 00:00:00+05:30,11627.45,11749.85,11614.5,11707.9,0
3,2020-02-04 00:00:00+05:30,11786.25,11986.15,11783.4,11979.65,0
4,2020-02-05 00:00:00+05:30,12005.85,12098.15,11953.35,12089.15,0
5,2020-02-06 00:00:00+05:30,12120.0,12160.6,12084.65,12137.95,0
6,2020-02-07 00:00:00+05:30,12151.15,12154.7,12073.95,12098.35,0
7,2020-02-10 00:00:00+05:30,12102.35,12103.55,11990.75,12031.5,0
8,2020-02-11 00:00:00+05:30,12108.4,12172.3,12099.0,12107.9,0
9,2020-02-12 00:00:00+05:30,12151.0,12231.75,12144.3,12201.2,0
10,2020-02-13 00:00:00+05:30,12219.55,12225.65,12139.8,12174.65,0
11,2020-02-14 00:00:00+05:30,12190.15,12246.7,12091.2,12113.45,0
12,2020-02-17 00:00:00+05:30,12131.8,12159.6,12037.0,12045.8,0
13,2020-02-18 00:00:00+05:30,12028.25,12030.75,11908.05,11992.5,0
14,2020-02-19 00:00:00+05:30,12090.6,12134.7,12042.1,12125.9,0
15,2020-02-20 00:00:00+05:30,12119.0,12152.0,12071.45,12080.85,0
16,2020-02-24 00:00:00+05:30,12012.55,12012.55,11813.4,11829.4,0
17,2020-02-25 00:00:00+05:30,11877.5,11883.05,11779.9,11797.9,0
18,2020-02-26 00:00:00+05:30,11738.55,11783.25,11639.6,11678.5,0
19,2020-02-27 00:00:00+05:30,11661.25,11663.85,11536.7,11633.3,0
20,2020-02-28 00:00:00+05:30,11382.0,11384.8,11175.05,11201.75,0
21,2020-03-02 00:00:00+05:30,11387.35,11433.0,11036.25,11132.75,0
22,2020-03-03 00:00:00+05:30,11217.55,11342.25,11152.55,11303.3,0
23,2020-03-04 00:00:00+05:30,11351.35,11356.6,11082.15,11251.0,0
24,2020-03-05 00:00:00+05:30,11306.05,11389.5,11244.6,11269.0,0
25,2020-03-06 00:00:00+05:30,10942.65,11035.1,10827.4,10989.45,0
26,2020-03-09 00:00:00+05:30,10742.05,10751.55,10294.45,10451.45,0
27,2020-03-11 00:00:00+05:30,10334.29,10545.1,10334.0,10458.4,0
28,2020-03-12 00:00:00+05:30,10039.95,10040.75,9508.0,9590.15,0
29,2020-03-13 00:00:00+05:30,9107.6,10159.4,8555.15,9955.2,0
30,2020-03-16 00:00:00+05:30,9587.79,9602.2,9165.1,9197.4,0
31,2020-03-17 00:00:00+05:30,9285.4,9403.79,8915.6,8967.04,0
32,2020-03-18 00:00:00+05:30,9088.45,9127.54,8407.04,8468.79,0
