,Date,Time,Open,High,Low,Close
0,01-01-2015,09:16,18706.95,18706.95,18649.75,18654.55
1,01-01-2015,09:21,18654.15,18691.7,18651.95,18689.9
2,01-01-2015,09:26,18682.95,18685.6,18673.75,18685.05
3,01-01-2015,09:31,18683.6,18686.35,18667.95,18667.95
4,01-01-2015,09:36,18667.55,18667.55,18638.85,18660.35
5,01-01-2015,09:41,18663.95,18693.05,18662.9,18684.35
6,01-01-2015,09:46,18687.55,18704.4,18687.55,18701.05
7,01-01-2015,09:51,18695.95,18716.85,18695.95,18713.85
8,01-01-2015,09:56,18710.95,18713.15,18697.45,18702.85
9,01-01-2015,10:01,18702.5,18720.85,18702.5,18716.6
10,01-01-2015,10:06,18720.35,18723.15,18711.95,18721.4
11,01-01-2015,10:11,18720.0,18722.9,18699.25,18699.25
12,01-01-2015,10:16,18700.9,18703.55,18691.65,18699.3
13,01-01-2015,10:21,18701.75,18709.9,18700.8,18704.4
14,01-01-2015,10:26,18705.4,18705.75,18693.15,18698.6
15,01-01-2015,10:31,18697.5,18703.2,18692.45,18695.85
16,01-01-2015,10:36,18696.95,18705.95,18695.05,18700.6
17,01-01-2015,10:41,18700.5,18700.5,18691.4,18693.3
18,01-01-2015,10:46,18696.8,18701.0,18693.35,18697.25
19,01-01-2015,10:51,18695.25,18702.15,18693.65,18700.4
20,01-01-2015,10:56,18699.45,18699.5,18685.25,18690.15
21,01-01-2015,11:01,18689.6,18702.3,18689.6,18696.05
22,01-01-2015,11:06,18695.5,18698.7,18690.3,18690.6
23,01-01-2015,11:11,18695.5,18701.45,18686.1,18700.2
24,01-01-2015,11:16,18702.5,18735.1,18701.45,18721.4
25,01-01-2015,11:21,18722.75,18728.55,18714.25,18721.2
26,01-01-2015,11:26,18723.45,18727.85,18719.5,18722.5
27,01-01-2015,11:31,18723.3,18726.5,18707.3,18709.9
28,01-01-2015,11:36,18709.2,18710.25,18692.1,18696.0
29,01-01-2015,11:41,18696.25,18713.9,18696.25,18713.9
30,01-01-2015,11:46,18713.75,18720.75,18711.75,18712.35
31,01-01-2015,11:51,18714.4,18715.75,18708.4,18713.2
32,01-01-2015,11:56,18712.75,18727.4,18712.75,18719.75
33,01-01-2015,12:01,18717.45,18723.4,18712.6,18723.35
34,01-01-2015,12:06,18722.8,18728.35,18719.95,18724.8
35,01-01-2015,12:11,18725.2,18729.2,18723.35,18723.8
36,01-01-2015,12:16,18726.4,18726.4,18712.2,18716.15
37,01-01-2015,12:21,18716.6,18717.0,18706.55,18706.55
38,01-01-2015,12:26,18705.7,18710.55,18696.1,18698.85
39,01-01-2015,12:31,18698.7,18702.15,18693.1,18698.85
40,01-01-2015,12:36,18700.0,18707.35,18697.75,18703.65
41,01-01-2015,12:41,18703.8,18707.45,18699.4,18706.15
42,01-01-2015,12:46,18706.8,18710.2,18698.6,18701.45
43,01-01-2015,12:51,18700.65,18710.35,18700.45,18707.25
44,01-01-2015,12:56,18706.95,18708.15,18703.4,18707.4
45,01-01-2015,13:01,18707.05,18707.05,18699.8,18705.7
46,01-01-2015,13:06,18703.85,18710.95,18698.35,18703.2
47,01-01-2015,13:11,18702.1,18705.55,18696.8,18699.4
48,01-01-2015,13:16,18700.25,18703.35,18695.25,18703.35
49,01-01-2015,13:21,18704.3,18708.45,18693.9,18695.8
50,01-01-2015,13:26,18690.5,18698.85,18690.5,18693.1
51,01-01-2015,13:31,18691.5,18707.5,18691.5,18702.85
52,01-01-2015,13:36,18703.75,18719.7,18703.75,18711.2
53,01-01-2015,13:41,18710.5,18714.05,18707.85,18711.8
54,01-01-2015,13:46,18712.75,18717.2,18710.1,18714.25
55,01-01-2015,13:51,18714.35,18724.45,18710.25,18723.0
56,01-01-2015,13:56,18724.8,18743.15,18723.55,18737.25
57,01-01-2015,14:01,18737.35,18739.5,18726.85,18726.85
58,01-01-2015,14:06,18725.6,18735.65,18717.3,18734.1
59,01-01-2015,14:11,18733.7,18734.9,18726.6,18734.9
60,01-01-2015,14:16,18733.15,18736.5,18724.8,18726.4
61,01-01-2015,14:21,18725.95,18735.6,18724.85,18734.65
62,01-01-2015,14:26,18734.9,18739.9,18727.3,18732.15
63,01-01-2015,14:31,18733.35,18765.05,18729.95,18761.75
64,01-01-2015,14:36,18762.0,18762.45,18739.85,18746.6
65,01-01-2015,14:41,18745.85,18781.55,18745.0,18774.55
66,01-01-2015,14:46,18775.05,18779.75,18749.9,18755.15
67,01-01-2015,14:51,18753.5,18761.3,18746.4,18758.85
68,01-01-2015,14:56,18759.7,18760.45,18741.15,18744.1
69,01-01-2015,15:01,18743.55,18751.2,18741.8,18746.75
70,01-01-2015,15:06,18744.85,18748.35,18736.2,18748.35
71,01-01-2015,15:11,18747.0,18752.2,18743.55,18745.9
72,01-01-2015,15:16,18745.4,18758.1,18744.0,18757.15
73,01-01-2015,15:21,18758.8,18758.85,18747.35,18748.65
74,01-01-2015,15:26,18749.65,18764.4,18745.5,18759.75
75,02-01-2015,09:16,18774.1,18836.55,18774.1,18831.05
76,02-01-2015,09:21,18832.65,18851.85,18809.55,18845.3
77,02-01-2015,09:26,18842.3,18852.4,18837.8,18844.9
78,02-01-2015,09:31,18847.95,18884.95,18847.3,18884.3
79,02-01-2015,09:36,18886.5,18903.3,18872.85,18891.05
80,02-01-2015,09:41,18890.95,18926.75,18887.2,18926.75
81,02-01-2015,09:46,18926.95,18961.35,18916.3,18953.65
82,02-01-2015,09:51,18954.45,18969.1,18945.15,18967.05
83,02-01-2015,09:56,18970.05,18997.35,18961.7,18997.35
84,02-01-2015,10:01,18998.65,19010.6,18992.55,19001.65
85,02-01-2015,10:06,19002.9,19030.45,18995.9,19030.45
86,02-01-2015,10:11,19028.25,19042.7,19026.55,19033.7
87,02-01-2015,10:16,19027.75,19029.35,19018.15,19018.15
88,02-01-2015,10:21,19020.65,19037.85,19017.05,19035.75
89,02-01-2015,10:26,19035.5,19043.4,19030.65,19041.95
90,02-01-2015,10:31,19043.65,19055.9,19025.6,19037.2
91,02-01-2015,10:36,19038.75,19041.7,19025.9,19025.9
92,02-01-2015,10:41,19026.0,19034.05,19015.9,19015.9
93,02-01-2015,10:46,19018.1,19032.75,19017.05,19021.0
94,02-01-2015,10:51,19023.75,19032.8,19015.3,19031.65
95,02-01-2015,10:56,19031.75,19034.75,19023.0,19028.25
96,02-01-2015,11:01,19028.65,19037.9,19026.4,19032.6
97,02-01-2015,11:06,19030.5,19037.15,19027.4,19036.15
98,02-01-2015,11:11,19034.75,19042.0,19033.4,19037.9
99,02-01-2015,11:16,19036.5,19039.55,19019.65,19019.65
100,02-01-2015,11:21,19020.55,19024.55,19012.6,19021.9
101,02-01-2015,11:26,19018.6,19026.2,19017.45,19023.0
102,02-01-2015,11:31,19021.5,19031.95,19020.65,19027.55
103,02-01-2015,11:36,19025.0,19034.8,19023.05,19034.8
104,02-01-2015,11:41,19032.25,19045.75,19032.25,19043.45
105,02-01-2015,11:46,19044.75,19045.05,19031.85,19034.0
106,02-01-2015,11:51,19033.9,19038.1,19022.75,19025.95
107,02-01-2015,11:56,19025.6,19035.8,19025.0,19031.7
108,02-01-2015,12:01,19031.0,19035.1,19026.25,19027.55
109,02-01-2015,12:06,19028.2,19035.95,19026.3,19033.2
110,02-01-2015,12:11,19032.7,19048.95,19032.7,19045.15
111,02-01-2015,12:16,19046.35,19051.95,19038.0,19044.65
112,02-01-2015,12:21,19045.65,19050.6,19043.3,19049.25
113,02-01-2015,12:26,19046.4,19056.1,19045.25,19054.9
114,02-01-2015,12:31,19055.25,19065.55,19050.35,19065.55
115,02-01-2015,12:36,19066.25,19066.25,19047.9,19051.55
116,02-01-2015,12:41,19052.1,19065.9,19050.6,19064.7
117,02-01-2015,12:46,19063.0,19079.35,19063.0,19076.5
118,02-01-2015,12:51,19075.4,19081.05,19070.65,19077.5
119,02-01-2015,12:56,19078.3,19081.15,19066.75,19071.0
120,02-01-2015,13:01,19069.15,19085.8,19066.5,19082.65
121,02-01-2015,13:06,19081.05,19093.55,19081.05,19089.05
122,02-01-2015,13:11,19090.25,19093.15,19077.75,19077.75
123,02-01-2015,13:16,19073.5,19084.95,19072.15,19081.1
124,02-01-2015,13:21,19085.1,19085.1,19077.05,19081.65
125,02-01-2015,13:26,19077.05,19093.55,19077.05,19092.8
126,02-01-2015,13:31,19090.0,19106.7,19090.0,19105.45
127,02-01-2015,13:36,19103.15,19117.15,19098.9,19104.6
128,02-01-2015,13:41,19105.15,19111.3,19103.1,19109.15
129,02-01-2015,13:46,19109.75,19115.85,19102.15,19105.8
130,02-01-2015,13:51,19105.4,19113.4,19098.9,19110.95
131,02-01-2015,13:56,19110.8,19118.0,19082.75,19085.05
132,02-01-2015,14:01,19081.4,19118.0,19081.4,19109.7
133,02-01-2015,14:06,19109.25,19118.85,19104.3,19112.7
134,02-01-2015,14:11,19114.55,19116.1,19107.85,19108.6
135,02-01-2015,14:16,19108.35,19111.6,19077.35,19079.6
136,02-01-2015,14:21,19082.85,19082.85,19060.9,19070.0
137,02-01-2015,14:26,19072.25,19072.25,19042.85,19042.85
138,02-01-2015,14:31,19041.3,19062.95,19033.75,19042.95
