Datetime,Open,High,Low,Close,Adj Close,Volume
2022-08-22 09:15:00+05:30,38693.64844,38717.60156,38511.55078,38641.75,38641.75,0
2022-08-22 09:20:00+05:30,38644,38645.30078,38427.75,38450.75,38450.75,0
2022-08-22 09:25:00+05:30,38448.44922,38512.39844,38435.25,38454.80078,38454.80078,0
2022-08-22 09:30:00+05:30,38457.30078,38518.30078,38439.5,38472.39844,38472.39844,0
2022-08-22 09:35:00+05:30,38470.25,38481.75,38370.19922,38391.55078,38391.55078,0
2022-08-22 09:40:00+05:30,38390.35156,38427.44922,38380.10156,38415.80078,38415.80078,0
2022-08-22 09:45:00+05:30,38420.10156,38446.10156,38376.14844,38414.69922,38414.69922,0
2022-08-22 09:50:00+05:30,38413,38441.39844,38391.19922,38433.60156,38433.60156,0
2022-08-22 09:55:00+05:30,38435.94922,38482.85156,38407.75,38455.75,38455.75,0
2022-08-22 10:00:00+05:30,38458.64844,38460.19922,38383.60156,38384.69922,38384.69922,0
2022-08-22 10:05:00+05:30,38380,38400.69922,38356.05078,38388.25,38388.25,0
2022-08-22 10:10:00+05:30,38385.60156,38389.35156,38351.05078,38369.10156,38369.10156,0
2022-08-22 10:15:00+05:30,38370.44922,38412.35156,38354.69922,38388.10156,38388.10156,0
2022-08-22 10:20:00+05:30,38383.05078,38405.19922,38364.35156,38368.30078,38368.30078,0
2022-08-22 10:25:00+05:30,38367.19922,38397.44922,38354.60156,38380.05078,38380.05078,0
2022-08-22 10:30:00+05:30,38381.25,38394.89844,38364.35156,38380.05078,38380.05078,0
2022-08-22 10:35:00+05:30,38381.64844,38384.35156,38360.30078,38361.5,38361.5,0
2022-08-22 10:40:00+05:30,38361.5,38372.39844,38308.14844,38312.30078,38312.30078,0
2022-08-22 10:45:00+05:30,38312.44922,38349.5,38304,38322.39844,38322.39844,0
2022-08-22 10:50:00+05:30,38323.05078,38376,38319.44922,38353.35156,38353.35156,0
2022-08-22 10:55:00+05:30,38353.39844,38363.05078,38321.80078,38330.85156,38330.85156,0
2022-08-22 11:00:00+05:30,38331.60156,38391.55078,38302.89844,38366.85156,38366.85156,0
2022-08-22 11:05:00+05:30,38367.75,38376.35156,38287.5,38297.94922,38297.94922,0
2022-08-22 11:10:00+05:30,38295.35156,38322.89844,38290.69922,38317.05078,38317.05078,0
2022-08-22 11:15:00+05:30,38316.89844,38325.14844,38304.64844,38313.44922,38313.44922,0
2022-08-22 11:20:00+05:30,38315.05078,38329.05078,38314.44922,38317,38317,0
