,Date,Time,Open,High,Low,Close
0,02-01-2017,09:15,18242.3,18249.0,18116.3,18138.9
1,02-01-2017,09:20,18139.5,18142.6,18089.1,18102.9
2,02-01-2017,09:25,18102.4,18102.9,18076.3,18077.2
3,02-01-2017,09:30,18074.2,18074.8,17995.3,18019.4
4,02-01-2017,09:35,18018.4,18049.1,18018.4,18040.8
5,02-01-2017,09:40,18041.4,18049.7,18022.9,18047.9
6,02-01-2017,09:45,18047.8,18052.3,18017.9,18023.7
7,02-01-2017,09:50,18022.6,18025.2,18003.6,18014.4
8,02-01-2017,09:55,18014.2,18037.5,18008.5,18031.2
9,02-01-2017,10:00,18031.6,18040.9,18018.7,18038.1
10,02-01-2017,10:05,18037.7,18038.3,18014.9,18027.4
11,02-01-2017,10:10,18026.5,18028.3,18007.9,18018.7
12,02-01-2017,10:15,18018.8,18022.7,18013.9,18016.8
13,02-01-2017,10:20,18017.1,18032.1,18014.4,18031.7
14,02-01-2017,10:25,18030.4,18035.8,18021.6,18023.8
15,02-01-2017,10:30,18024.8,18024.8,17983.4,17992.6
16,02-01-2017,10:35,17995.7,17995.7,17961.2,17977.3
17,02-01-2017,10:40,17975.4,17978.3,17967.4,17976.1
18,02-01-2017,10:45,17976.3,17976.3,17903.5,17908.3
19,02-01-2017,10:50,17907.7,17910.4,17872.2,17899.1
20,02-01-2017,10:55,17897.3,17910.2,17886.6,17909.3
21,02-01-2017,11:00,17908.7,17909.4,17890.4,17899.4
22,02-01-2017,11:05,17899.3,17907.6,17892.4,17900.5
23,02-01-2017,11:10,17898.6,17910.7,17896.6,17903.9
24,02-01-2017,11:15,17905.1,17905.6,17883.2,17883.2
25,02-01-2017,11:20,17882.9,17884.5,17847.9,17856.3
26,02-01-2017,11:25,17855.2,17870.2,17844.9,17869.3
27,02-01-2017,11:30,17870.6,17877.3,17864.3,17873.8
28,02-01-2017,11:35,17874.3,17883.3,17872.7,17879.7
29,02-01-2017,11:40,17879.4,17892.3,17877.8,17890.8
30,02-01-2017,11:45,17891.0,17902.3,17888.9,17894.1
31,02-01-2017,11:50,17894.7,17917.2,17893.7,17913.8
32,02-01-2017,11:55,17916.1,17923.8,17898.9,17906.6
33,02-01-2017,12:00,17908.8,17908.8,17900.8,17903.3
34,02-01-2017,12:05,17905.4,17915.2,17901.2,17904.4
35,02-01-2017,12:10,17903.8,17912.2,17899.8,17912.1
36,02-01-2017,12:15,17913.5,17916.6,17901.6,17903.4
37,02-01-2017,12:20,17903.3,17905.6,17894.3,17896.1
38,02-01-2017,12:25,17897.5,17902.6,17893.7,17898.8
39,02-01-2017,12:30,17898.8,17911.3,17895.1,17903.7
40,02-01-2017,12:35,17903.7,17922.4,17900.3,17920.6
41,02-01-2017,12:40,17921.6,17938.3,17917.0,17922.7
42,02-01-2017,12:45,17918.4,17924.3,17902.4,17904.3
43,02-01-2017,12:50,17904.4,17927.4,17902.7,17924.1
44,02-01-2017,12:55,17923.3,17925.4,17909.9,17916.4
45,02-01-2017,13:00,17916.4,17936.9,17915.4,17935.2
46,02-01-2017,13:05,17934.9,17938.6,17926.8,17934.4
47,02-01-2017,13:10,17935.2,17951.2,17922.7,17949.3
48,02-01-2017,13:15,17949.2,17951.0,17928.3,17928.6
49,02-01-2017,13:20,17929.1,17944.9,17928.6,17934.8
50,02-01-2017,13:25,17935.2,17949.4,17934.4,17944.9
51,02-01-2017,13:30,17944.3,17956.1,17928.5,17949.3
52,02-01-2017,13:35,17949.2,17960.3,17928.1,17932.1
53,02-01-2017,13:40,17931.7,17950.8,17929.8,17945.8
54,02-01-2017,13:45,17948.3,17956.3,17933.8,17954.5
55,02-01-2017,13:50,17955.8,17968.6,17955.8,17962.4
56,02-01-2017,13:55,17962.1,17965.4,17938.3,17939.7
57,02-01-2017,14:00,17939.2,17961.8,17939.2,17961.8
58,02-01-2017,14:05,17962.8,17988.8,17962.8,17985.6
59,02-01-2017,14:10,17985.2,18027.8,17985.2,18022.6
60,02-01-2017,14:15,18022.1,18052.8,18018.7,18033.1
61,02-01-2017,14:20,18034.4,18037.4,17996.7,18000.7
62,02-01-2017,14:25,18000.7,18026.3,17996.3,18024.0
63,02-01-2017,14:30,18023.9,18047.7,18016.8,18036.8
64,02-01-2017,14:35,18036.6,18041.2,18001.4,18005.3
65,02-01-2017,14:40,18004.8,18019.2,17998.8,18006.9
66,02-01-2017,14:45,18006.4,18008.9,17945.5,17962.2
67,02-01-2017,14:50,17961.9,17981.0,17959.1,17974.1
68,02-01-2017,14:55,17974.8,17979.4,17968.6,17971.9
69,02-01-2017,15:00,17971.6,17989.5,17968.5,17972.5
70,02-01-2017,15:05,17970.3,17989.7,17961.0,17973.3
71,02-01-2017,15:10,17973.9,17974.3,17954.8,17961.3
72,02-01-2017,15:15,17961.1,17974.7,17957.6,17966.9
73,02-01-2017,15:20,17965.4,17976.6,17958.9,17973.0
74,02-01-2017,15:25,17973.5,17976.4,17959.3,17972.4
75,03-01-2017,09:15,18002.8,18022.6,17892.8,17901.8
76,03-01-2017,09:20,17901.7,17903.6,17863.3,17877.2
77,03-01-2017,09:25,17876.4,17876.4,17830.9,17868.8
78,03-01-2017,09:30,17871.3,17874.7,17850.7,17864.8
79,03-01-2017,09:35,17864.6,17888.3,17841.8,17876.1
80,03-01-2017,09:40,17878.7,17912.7,17871.4,17906.6
81,03-01-2017,09:45,17904.7,17907.3,17889.4,17902.2
82,03-01-2017,09:50,17901.4,17972.4,17899.6,17972.4
83,03-01-2017,09:55,17973.2,18018.1,17973.2,17998.3
84,03-01-2017,10:00,17998.2,18048.7,17994.7,18024.7
85,03-01-2017,10:05,18024.7,18027.4,18005.4,18022.1
86,03-01-2017,10:10,18022.8,18048.3,18022.2,18048.3
87,03-01-2017,10:15,18048.3,18088.1,18046.3,18075.4
88,03-01-2017,10:20,18074.9,18098.8,18062.3,18062.3
89,03-01-2017,10:25,18065.8,18074.4,18052.3,18063.7
90,03-01-2017,10:30,18064.1,18083.5,18062.8,18077.4
91,03-01-2017,10:35,18077.8,18103.3,18077.8,18100.7
92,03-01-2017,10:40,18100.2,18106.8,18088.0,18090.7
93,03-01-2017,10:45,18090.2,18102.6,18071.2,18074.5
94,03-01-2017,10:50,18073.9,18077.4,18065.0,18073.4
95,03-01-2017,10:55,18073.1,18084.5,18066.9,18077.8
96,03-01-2017,11:00,18077.4,18092.9,18072.1,18092.7
97,03-01-2017,11:05,18092.2,18111.5,18088.9,18110.9
98,03-01-2017,11:10,18109.6,18115.1,18100.4,18107.1
99,03-01-2017,11:15,18106.8,18108.7,18095.4,18098.8
100,03-01-2017,11:20,18098.8,18106.0,18089.1,18098.6
101,03-01-2017,11:25,18097.9,18106.8,18090.4,18096.7
102,03-01-2017,11:30,18096.3,18102.3,18089.4,18092.8
103,03-01-2017,11:35,18092.1,18098.2,18084.2,18088.4
104,03-01-2017,11:40,18088.0,18093.2,18076.8,18079.4
105,03-01-2017,11:45,18079.3,18084.6,18044.4,18060.0
106,03-01-2017,11:50,18059.7,18075.1,18045.8,18075.1
107,03-01-2017,11:55,18074.2,18085.3,18072.8,18081.4
108,03-01-2017,12:00,18081.0,18082.2,18069.4,18077.3
109,03-01-2017,12:05,18077.2,18085.2,18075.7,18083.1
110,03-01-2017,12:10,18083.2,18088.1,18077.6,18082.9
111,03-01-2017,12:15,18083.2,18087.4,18076.3,18087.2
112,03-01-2017,12:20,18087.9,18088.1,18078.4,18083.8
113,03-01-2017,12:25,18083.7,18097.9,18077.0,18096.9
114,03-01-2017,12:30,18093.9,18103.3,18090.3,18101.8
115,03-01-2017,12:35,18102.0,18102.0,18080.4,18082.2
116,03-01-2017,12:40,18082.1,18085.4,18063.4,18066.8
117,03-01-2017,12:45,18066.3,18075.5,18065.8,18073.4
118,03-01-2017,12:50,18073.6,18076.6,18057.4,18062.7
119,03-01-2017,12:55,18062.2,18071.0,18057.9,18068.2
120,03-01-2017,13:00,18067.1,18082.5,18066.3,18079.0
121,03-01-2017,13:05,18079.7,18081.1,18074.8,18077.6
122,03-01-2017,13:10,18075.4,18085.4,18069.8,18074.8
123,03-01-2017,13:15,18074.1,18075.6,17970.2,17999.9
124,03-01-2017,13:20,18000.9,18000.9,17961.0,17970.4
125,03-01-2017,13:25,17969.4,18007.9,17958.4,18005.7
126,03-01-2017,13:30,18004.8,18008.7,17986.3,17993.7
127,03-01-2017,13:35,17993.6,18003.6,17990.5,17997.0
128,03-01-2017,13:40,17996.8,17997.7,17968.4,17970.3
129,03-01-2017,13:45,17970.3,17989.6,17965.3,17985.4
130,03-01-2017,13:50,17985.1,18040.4,17982.8,18020.6
131,03-01-2017,13:55,18018.1,18026.1,18014.0,18016.3
132,03-01-2017,14:00,18015.8,18037.1,18015.8,18028.9
133,03-01-2017,14:05,18031.9,18046.6,18026.4,18030.4
134,03-01-2017,14:10,18028.0,18036.8,18015.4,18017.9
135,03-01-2017,14:15,18017.8,18043.3,18017.7,18036.8
136,03-01-2017,14:20,18036.2,18052.4,18036.2,18039.1
137,03-01-2017,14:25,18041.5,18055.1,18034.6,18052.7
138,03-01-2017,14:30,18054.7,18093.6,18050.2,18085.6
139,03-01-2017,14:35,18087.3,18090.9,18070.3,18070.9
140,03-01-2017,14:40,18069.1,18078.9,18056.6,18069.3
141,03-01-2017,14:45,18069.2,18088.3,18066.9,18080.7
142,03-01-2017,14:50,18080.2,18090.8,18041.6,18052.4
143,03-01-2017,14:55,18050.3,18064.3,18044.8,18052.9
144,03-01-2017,15:00,18052.7,18059.0,18024.7,18043.6
