,Date,Time,Open,High,Low,Close
0,01-01-2020,09:15,32237.9,32303.3,32220.9,32292.55
1,01-01-2020,09:20,32292.45,32313.35,32286.2,32310.2
2,01-01-2020,09:25,32314.3,32327.2,32302.5,32323.7
3,01-01-2020,09:30,32320.05,32348.0,32319.35,32331.4
4,01-01-2020,09:35,32330.95,32332.4,32284.35,32292.4
5,01-01-2020,09:40,32290.6,32294.0,32237.95,32254.7
6,01-01-2020,09:45,32255.45,32255.45,32175.45,32206.55
7,01-01-2020,09:50,32205.3,32214.25,32169.2,32202.1
8,01-01-2020,09:55,32200.95,32212.1,32183.45,32195.1
9,01-01-2020,10:00,32194.8,32207.9,32177.8,32181.3
10,01-01-2020,10:05,32181.4,32192.85,32176.45,32185.0
11,01-01-2020,10:10,32184.8,32186.05,32131.15,32141.8
12,01-01-2020,10:15,32140.7,32159.05,32133.55,32151.45
13,01-01-2020,10:20,32149.8,32174.55,32145.9,32159.8
14,01-01-2020,10:25,32160.85,32185.45,32152.9,32185.45
15,01-01-2020,10:30,32185.4,32188.05,32125.55,32156.3
16,01-01-2020,10:35,32156.15,32162.1,32133.65,32137.85
17,01-01-2020,10:40,32137.75,32163.3,32133.65,32146.75
18,01-01-2020,10:45,32145.6,32149.95,32123.45,32123.45
19,01-01-2020,10:50,32124.2,32128.2,32089.6,32097.5
20,01-01-2020,10:55,32094.9,32112.45,32094.45,32106.2
21,01-01-2020,11:00,32104.95,32119.2,32099.7,32111.85
22,01-01-2020,11:05,32112.55,32122.95,32101.25,32120.9
23,01-01-2020,11:10,32120.5,32122.8,32099.2,32114.8
24,01-01-2020,11:15,32114.55,32127.65,32109.65,32115.55
25,01-01-2020,11:20,32110.85,32112.25,32082.55,32085.45
26,01-01-2020,11:25,32083.2,32103.95,32078.65,32094.75
27,01-01-2020,11:30,32094.1,32113.7,32092.65,32110.0
28,01-01-2020,11:35,32109.65,32112.75,32095.75,32096.45
29,01-01-2020,11:40,32096.55,32099.2,32075.35,32082.05
30,01-01-2020,11:45,32082.45,32090.75,32078.85,32089.55
31,01-01-2020,11:50,32090.45,32098.8,32083.15,32088.1
32,01-01-2020,11:55,32088.65,32089.65,32076.3,32079.5
33,01-01-2020,12:00,32076.85,32102.75,32075.2,32097.1
