,Date,Time,Open,High,Low,Close
0,01-01-2016,09:16,16922.85,16930.75,16899.0,16908.25
1,01-01-2016,09:21,16908.85,16910.55,16824.05,16858.75
2,01-01-2016,09:26,16858.7,16878.7,16856.55,16875.7
3,01-01-2016,09:31,16875.65,16880.05,16852.65,16869.95
4,01-01-2016,09:36,16870.05,16875.35,16860.1,16860.35
5,01-01-2016,09:41,16861.5,16870.0,16861.05,16867.5
6,01-01-2016,09:46,16866.9,16872.65,16862.5,16865.95
7,01-01-2016,09:51,16866.3,16885.45,16865.1,16880.7
8,01-01-2016,09:56,16881.15,16887.55,16878.4,16887.25
9,01-01-2016,10:01,16886.8,16887.75,16867.75,16870.7
10,01-01-2016,10:06,16872.05,16873.05,16861.8,16862.1
11,01-01-2016,10:11,16862.8,16863.95,16853.05,16854.45
12,01-01-2016,10:16,16854.4,16877.1,16853.4,16877.1
13,01-01-2016,10:21,16876.8,16878.05,16867.85,16869.6
14,01-01-2016,10:26,16868.8,16873.5,16859.55,16861.15
15,01-01-2016,10:31,16859.35,16867.0,16858.9,16859.6
16,01-01-2016,10:36,16858.85,16863.7,16856.0,16860.25
17,01-01-2016,10:41,16859.9,16877.95,16859.9,16875.65
18,01-01-2016,10:46,16876.3,16881.0,16872.35,16877.3
19,01-01-2016,10:51,16877.4,16890.3,16868.1,16890.3
20,01-01-2016,10:56,16889.0,16901.15,16883.35,16886.7
21,01-01-2016,11:01,16888.8,16897.5,16884.6,16892.65
22,01-01-2016,11:06,16894.25,16897.75,16889.75,16891.6
23,01-01-2016,11:11,16890.05,16895.5,16890.0,16890.6
24,01-01-2016,11:16,16891.1,16894.8,16882.2,16884.5
25,01-01-2016,11:21,16884.55,16886.95,16877.25,16884.6
26,01-01-2016,11:26,16885.9,16889.25,16884.1,16887.1
27,01-01-2016,11:31,16886.75,16890.5,16883.45,16885.4
28,01-01-2016,11:36,16885.45,16888.8,16868.65,16871.9
29,01-01-2016,11:41,16872.3,16874.95,16867.85,16871.0
30,01-01-2016,11:46,16870.95,16883.7,16870.9,16883.0
31,01-01-2016,11:51,16883.7,16886.45,16878.2,16879.6
32,01-01-2016,11:56,16879.1,16885.45,16876.9,16883.9
33,01-01-2016,12:01,16884.05,16890.95,16881.7,16887.55
34,01-01-2016,12:06,16887.8,16888.5,16882.15,16884.0
35,01-01-2016,12:11,16884.75,16887.5,16876.95,16877.05
36,01-01-2016,12:16,16878.2,16882.35,16872.45,16876.6
37,01-01-2016,12:21,16876.65,16877.7,16866.85,16869.45
38,01-01-2016,12:26,16869.85,16876.75,16866.05,16869.15
39,01-01-2016,12:31,16868.45,16874.75,16865.5,16874.25
40,01-01-2016,12:36,16874.45,16874.55,16862.5,16862.5
41,01-01-2016,12:41,16862.6,16864.9,16849.2,16854.1
42,01-01-2016,12:46,16854.45,16861.85,16850.8,16860.1
43,01-01-2016,12:51,16859.9,16867.0,16858.45,16864.2
44,01-01-2016,12:56,16864.95,16867.65,16860.05,16866.9
45,01-01-2016,13:01,16865.15,16867.7,16860.5,16864.7
46,01-01-2016,13:06,16864.8,16869.7,16861.15,16862.2
47,01-01-2016,13:11,16861.8,16865.8,16856.7,16862.0
48,01-01-2016,13:16,16861.85,16862.45,16849.25,16853.6
49,01-01-2016,13:21,16854.6,16855.05,16844.85,16848.7
50,01-01-2016,13:26,16848.75,16863.1,16847.75,16862.25
51,01-01-2016,13:31,16862.05,16887.5,16855.65,16886.7
52,01-01-2016,13:36,16887.55,16912.4,16878.2,16905.8
53,01-01-2016,13:41,16905.75,17010.85,16905.75,16987.6
54,01-01-2016,13:46,16992.4,17029.05,16992.4,17002.25
55,01-01-2016,13:51,17001.7,17050.0,17001.2,17025.0
56,01-01-2016,13:56,17025.65,17054.65,17016.8,17053.95
