,Date,Time,Open,High,Low,Close
0,01-01-2019,09:15,27231.4,27239.55,27148.5,27157.5
1,01-01-2019,09:20,27157.2,27161.25,27113.85,27124.7
2,01-01-2019,09:25,27125.5,27133.35,27087.7,27121.9
3,01-01-2019,09:30,27122.25,27124.9,27073.85,27079.4
4,01-01-2019,09:35,27080.2,27108.05,27077.3,27107.15
5,01-01-2019,09:40,27105.65,27114.45,27090.25,27092.25
6,01-01-2019,09:45,27095.85,27119.1,27092.4,27096.9
7,01-01-2019,09:50,27095.35,27097.65,27081.35,27089.0
8,01-01-2019,09:55,27088.25,27088.95,27035.25,27062.1
9,01-01-2019,10:00,27063.95,27063.95,27038.8,27045.35
10,01-01-2019,10:05,27047.6,27062.25,27041.45,27054.0
11,01-01-2019,10:10,27053.6,27078.35,27051.45,27078.05
12,01-01-2019,10:15,27077.65,27082.4,27061.3,27075.15
13,01-01-2019,10:20,27078.7,27092.85,27073.2,27075.7
14,01-01-2019,10:25,27075.1,27082.9,27065.85,27079.25
15,01-01-2019,10:30,27079.45,27092.15,27076.25,27091.9
16,01-01-2019,10:35,27090.65,27099.1,27080.3,27090.3
17,01-01-2019,10:40,27091.7,27093.55,27064.95,27074.25
18,01-01-2019,10:45,27074.05,27083.45,27072.55,27075.55
19,01-01-2019,10:50,27075.25,27089.85,27057.45,27089.35
20,01-01-2019,10:55,27087.15,27094.5,27080.15,27086.25
21,01-01-2019,11:00,27087.1,27114.05,27082.35,27111.25
22,01-01-2019,11:05,27111.95,27116.5,27095.9,27102.35
23,01-01-2019,11:10,27101.85,27108.3,27094.0,27106.5
24,01-01-2019,11:15,27105.0,27119.05,27101.3,27116.75
25,01-01-2019,11:20,27113.65,27119.1,27103.2,27103.6
26,01-01-2019,11:25,27104.35,27107.9,27085.35,27085.35
27,01-01-2019,11:30,27085.8,27091.55,27080.65,27090.4
28,01-01-2019,11:35,27090.2,27106.05,27089.7,27103.0
29,01-01-2019,11:40,27102.8,27106.6,27093.4,27104.45
30,01-01-2019,11:45,27103.2,27106.65,27095.3,27097.75
31,01-01-2019,11:50,27098.35,27107.35,27097.55,27105.6
32,01-01-2019,11:55,27105.05,27114.0,27104.65,27109.95
33,01-01-2019,12:00,27109.85,27114.5,27105.55,27111.4
34,01-01-2019,12:05,27112.0,27122.85,27110.05,27110.9
35,01-01-2019,12:10,27110.8,27115.4,27106.55,27108.65
